TEM,CO2,PPFD,Pn
23,600,1800,4.131080074
23,600,2000,4.420469036
23,800,100,2.998090649
23,800,200,4.591066302
23,800,300,5.210847483
23,800,400,5.647608571
23,800,600,6.013905195
23,800,800,6.116277722
23,800,1000,6.225548128
23,800,1200,6.317243552
23,800,1500,6.420137258
23,800,1800,6.485383897
23,800,2000,6.651949545
23,1000,100,3.708991456
23,1000,200,5.674386709
23,1000,300,6.152476139
23,1000,400,6.114988882
23,1000,600,5.99152904
23,1000,800,5.788058797
23,1000,1000,5.65192821
23,1000,1200,5.763519195
23,1000,1500,5.909802787
23,1000,1800,6.077502683
23,1000,2000,6.218322807
23,1200,100,3.42406832
23,1200,200,3.388954607
23,1200,300,3.61636676
23,1200,400,3.749206462
23,1200,600,3.877066993
23,1200,800,3.921640636
23,1200,1000,4.146991258
23,1200,1200,4.309726732
23,1200,1500,4.48126179
23,1200,1800,4.613426828
23,1200,2000,4.771410809
23,1500,100,2.436786894
23,1500,200,3.827087866
23,1500,300,4.236195866
23,1500,400,4.53414242
23,1500,600,4.847002509
23,1500,800,5.328483131
23,1500,1000,4.799814695
23,1500,1200,4.977094244
23,1500,1500,5.09403214
23,1500,1800,5.229711944
23,1500,2000,5.328483131
26,200,100,1.449551929
26,200,200,2.555622218
26,200,300,2.837190745
26,200,400,3.016732267
26,200,600,3.197059296
26,200,800,3.351297412
26,200,1000,3.600131648
26,200,1200,3.79728579
26,200,1500,3.965113532
26,200,1800,4.097334948
26,200,2000,4.219931516
26,300,100,2.305670499
26,300,200,4.195574599
26,300,300,5.246534046
26,300,400,5.785161927
26,300,600,6.172043898
26,300,800,6.657021697
26,300,1000,6.838649853
26,300,1200,6.990231286
26,300,1500,7.168934827
26,300,1800,7.295917892
26,300,2000,7.412839195
26,400,100,2.818680827
26,400,200,5.478444921
26,400,300,6.922377307
26,400,400,7.778494244
26,400,600,8.376994163
26,400,800,8.634824875
26,400,1000,8.814144761
26,400,1200,8.941363175
26,400,1500,9.106272222
26,400,1800,9.258819764
26,400,2000,9.348590733
26,600,100,2.491426433
26,600,200,4.52807934
26,600,300,5.625576422
26,600,400,6.332336303
26,600,600,6.952436455
26,600,800,7.310502685
26,600,1000,7.593437903
26,600,1200,7.938856392
26,600,1500,8.205102455
26,600,1800,8.429380334
26,600,2000,8.587054662
26,800,100,2.529335279
26,800,200,4.365466748
26,800,300,5.346298961
26,800,400,6.022725945
26,800,600,6.690114222
26,800,800,7.095909044
26,800,1000,7.559132066
26,800,1200,7.928504843
26,800,1500,8.254257242
26,800,1800,8.585243669
26,800,2000,8.808860908
26,1000,100,2.477433175
26,1000,200,5.052589535
26,1000,300,6.399484812
26,1000,400,7.308252985
26,1000,600,8.313872476
26,1000,800,8.730839965
26,1000,1000,8.928981442
26,1000,1200,9.167266598
26,1000,1500,9.336534236
26,1000,1800,9.444399193
26,1000,2000,9.57499122
26,1200,100,3.504640916
26,1200,200,5.098914487
26,1200,300,6.574173597
26,1200,400,7.666403873
26,1200,600,8.960266533
26,1200,800,9.866540667
26,1200,1000,10.6538485
26,1200,1200,11.20568909
26,1200,1500,11.66667178
26,1200,1800,11.97112239
26,1200,2000,12.38767652
26,1500,100,3.700522
26,1500,200,6.512767936
26,1500,300,8.166388717
26,1500,400,9.011195947
26,1500,600,9.97512003
26,1500,800,10.48370256
26,1500,1000,10.93438714
26,1500,1200,11.27407468
26,1500,1500,11.68171608
26,1500,1800,12.12846031
26,1500,2000,12.52344523
29,200,100,0.900683468
29,200,200,1.644354244
29,200,300,1.942270949
29,200,400,2.14925497
29,200,600,2.393650044
29,200,800,2.63454477
29,200,1000,2.878856855
29,200,1200,3.108491099
29,200,1500,3.314946177
29,200,1800,3.467352257
29,200,2000,3.581746587
29,300,100,1.933338272
29,300,200,3.182195658
29,300,300,3.053778805
29,300,400,3.295245205
29,300,600,3.604937503
29,300,800,3.869350848
29,300,1000,4.169098905
29,300,1200,4.492732788
29,300,1500,4.886782627
29,300,1800,5.183783034
29,300,2000,5.432621978
29,400,100,1.840291819
29,400,200,2.236980673
29,400,300,2.464893161
29,400,400,5.128798402
29,400,600,5.242789466
29,400,800,5.177994692
29,400,1000,5.321024347
29,400,1200,5.558914175
29,400,1500,5.838689986
29,400,1800,6.06586375
29,400,2000,6.342822401
29,600,100,2.799196908
29,600,200,3.774683417
29,600,300,3.941015678
29,600,400,4.160899166
29,600,600,4.646695981
29,600,800,5.191210821
29,600,1000,5.798190475
29,600,1200,6.42796577
29,600,1500,7.216777962
29,600,1800,7.696654098
29,600,2000,8.597011963
29,800,100,3.038062086
29,800,200,5.261479973
29,800,300,6.373422723
29,800,400,7.182521364
29,800,600,11.3150087
29,800,800,12.21324212
29,800,1000,12.85082029
29,800,1200,13.31199328
29,800,1500,13.80105888
29,800,1800,14.26590523
29,800,2000,14.05573267
29,1000,100,3.342266585
29,1000,200,6.616036489
29,1000,300,8.486202642
29,1000,400,9.56661211
29,1000,600,10.82054836
29,1000,800,11.7042621
29,1000,1000,12.38758844
29,1000,1200,12.82731418
29,1000,1500,13.44967745
29,1000,1800,14.0135838
29,1000,2000,14.31329582
29,1200,100,3.102701067
29,1200,200,5.955302517
29,1200,300,7.299834238
29,1200,400,8.261707811
29,1200,600,9.407447027
29,1200,800,10.22071615
29,1200,1000,10.85415107
29,1200,1200,11.46914119
29,1200,1500,11.98263399
29,1200,1800,12.32736522
29,1200,2000,12.83345061
29,1500,100,3.801771078
29,1500,200,7.239977178
29,1500,300,9.04135817
29,1500,400,9.906693731
29,1500,600,11.00806212
29,1500,800,11.82717363
29,1500,1000,12.64886108
29,1500,1200,13.2142078
29,1500,1500,13.85375734
29,1500,1800,14.35999398
29,1500,2000,14.57681755
32,200,100,1.01167918
32,200,200,1.69794305
32,200,300,1.988278708
32,200,400,2.211346898
32,200,600,2.497632822
32,200,800,2.670833859
32,200,1000,2.91215537
32,200,1200,3.074956709
32,200,1500,3.214673143
32,200,1800,3.416489565
32,200,2000,3.504021031
32,300,100,1.847855296
32,300,200,3.114370376
32,300,300,3.505753325
32,300,400,3.807237335
32,300,600,4.136954229
32,300,800,4.418146801
32,300,1000,4.712072378
32,300,1200,4.891560848
32,300,1500,5.17298783
32,300,1800,5.440901033
32,300,2000,5.595005228
32,400,100,2.325079483
32,400,200,3.938794418
32,400,300,4.612277428
32,400,400,5.077701537
32,400,600,5.66040208
32,400,800,6.005710744
32,400,1000,6.387828572
32,400,1200,6.713612274
32,400,1500,7.013966098
32,400,1800,7.235478105
32,400,2000,7.42116412
32,600,100,2.684904235
32,600,200,4.394139369
32,600,300,5.12776541
32,600,400,5.661465717
32,600,600,6.169896932
32,600,800,6.900942761
32,600,1000,7.465204507
32,600,1200,8.28891771
32,600,1500,8.885748568
32,600,1800,9.279801258
32,600,2000,9.713460699
32,800,100,3.138011996
32,800,200,5.742413589
32,800,300,7.339510414
32,800,400,8.264538209
32,800,600,9.376671406
32,800,800,9.996005484
32,800,1000,10.5789442
32,800,1200,11.0688975
32,800,1500,11.48332663
32,800,1800,11.88614103
32,800,2000,12.08877693
32,1000,100,1.956542503
32,1000,200,3.670434599
32,1000,300,4.535132635
32,1000,400,5.253604045
32,1000,600,5.994454344
32,1000,800,6.777633284
32,1000,1000,7.704192711
32,1000,1200,8.710051514
32,1000,1500,9.705739351
32,1000,1800,10.58671334
32,1000,2000,11.21037763
32,1200,100,2.187938667
32,1200,200,4.809707441
32,1200,300,6.652982988
32,1200,400,7.726806112
32,1200,600,8.652781269
32,1200,800,9.146193427
32,1200,1000,9.683321284
32,1200,1200,10.56392343
32,1200,1500,11.03562513
32,1200,1800,11.73681649
32,1200,2000,12.14639964
32,1500,100,2.685253666
32,1500,200,5.690822541
32,1500,300,7.655419476
32,1500,400,9.060116124
32,1500,600,10.42410896
32,1500,800,11.0502059
32,1500,1000,11.48317802
32,1500,1200,11.92380873
32,1500,1500,12.28734397
32,1500,1800,12.76077279
32,1500,2000,13.15998716
